lat,lon
37.61173,-122.39172
37.611945000000006,-122.39090999999999
37.612045,-122.39012500000001
37.61014,-122.38958
37.61022,-122.38888
37.60993,-122.38821
37.609539999999996,-122.38727
37.62016,-122.38637
37.62193,-122.38599
37.60902,-122.3852
37.609570000000005,-122.384545
37.610475,-122.38374999999999
37.61096,-122.38301
37.61119,-122.38233
37.61425,-122.36441
37.61385,-122.3635
37.61337,-122.36232
37.61281,-122.36101
37.61211,-122.35939
37.61197,-122.35898
37.61069,-122.35603
37.60997,-122.35432
37.60929,-122.35260500000001
37.60876,-122.35135
37.60816,-122.3499
37.60748,-122.34837
37.60671,-122.34644
37.60662,-122.34637
37.60602,-122.34486
37.6055,-122.34369
37.60495,-122.34232
37.60474,-122.34188
37.6042,-122.34064
37.60341,-122.33874
37.60277,-122.33727
37.60266,-122.33682
37.60222,-122.33592
37.60144,-122.33399
37.60025,-122.331005
37.59842,-122.32663
37.59782,-122.32499
37.59595,-122.32066
37.59512,-122.31879
37.59375,-122.31547
37.59354,-122.31497
37.59311,-122.31389
37.59233,-122.31213
37.59172,-122.31062
37.59107,-122.3091
37.59042,-122.30751
37.58972,-122.30582
37.58913,-122.30448
37.58904,-122.30418
37.58835,-122.30255
37.58665,-122.29855
37.58638,-122.29794
37.58488,-122.29443
37.584,-122.2924
37.58199,-122.28764
37.578985,-122.280405
37.57683,-122.27538
37.57678,-122.27526
37.573679999999996,-122.26787999999999
37.57077,-122.26077
37.57022,-122.25972
37.56844,-122.25522
37.56784,-122.25413
37.56542,-122.2481
37.5644,-122.24595
37.5623,-122.24061
37.56079,-122.23745
37.55992,-122.23488
37.55802,-122.23084
37.55681,-122.22734
37.55438,-122.22231
37.55369,-122.22015
37.5509,-122.21407
